commit	quality_score	gate_pass	M1_palette	M2_dominant	M3_cct	M4_msssim	M5_edge	M6_texture	M7_vmaf	M8_temporal	M9_layer_indep	M10_role_cohere	model_version	elapsed_ms	status	description
none	0.6008	1	0.6136	0.7063	0.5746	0.2636	0.5969	0.8652	0.1710	0.9999	0.3216	0.8667	local-2026-03-29	135488	discard	exp #60
none	0.6005	1	0.6186	0.7002	0.5717	0.2600	0.5982	0.8709	0.1700	0.9999	0.3216	0.8667	local-2026-03-29	143588	discard	exp #61
none	0.6012	1	0.6198	0.7127	0.5655	0.2576	0.6005	0.8708	0.1687	0.9999	0.3216	0.8667	local-2026-03-29	135560	discard	exp #62
none	0.6033	1	0.6236	0.7120	0.5779	0.2632	0.5976	0.8660	0.1735	0.9999	0.3216	0.8667	local-2026-03-29	135525	discard	exp #63
none	0.5984	1	0.6214	0.6897	0.5652	0.2558	0.5990	0.8711	0.1686	0.9999	0.3216	0.8667	local-2026-03-29	135400	discard	exp #64
none	0.6049	1	0.6267	0.7197	0.5799	0.2642	0.5953	0.8693	0.1729	0.9999	0.3216	0.8667	local-2026-03-29	135483	discard	exp #65
none	0.6008	1	0.6226	0.6938	0.5739	0.2649	0.5956	0.8718	0.1708	0.9999	0.3216	0.8667	local-2026-03-29	135500	discard	exp #66
none	0.6011	1	0.6183	0.7248	0.5701	0.2581	0.5965	0.8490	0.1714	0.9999	0.3216	0.8667	local-2026-03-29	141213	discard	exp #67
none	0.5991	1	0.6124	0.7139	0.5648	0.2574	0.6012	0.8539	0.1698	0.9999	0.3216	0.8667	local-2026-03-29	141704	discard	exp #68
none	0.6004	1	0.6112	0.7123	0.5681	0.2591	0.5985	0.8709	0.1692	0.9999	0.3216	0.8667	local-2026-03-29	137242	discard	exp #69
none	0.6026	1	0.6143	0.7213	0.5759	0.2629	0.5957	0.8654	0.1713	0.9999	0.3216	0.8667	local-2026-03-29	136761	discard	exp #70
none	0.6038	1	0.6250	0.7203	0.5764	0.2626	0.5974	0.8618	0.1730	0.9999	0.3216	0.8667	local-2026-03-29	135348	discard	exp #71
none	0.6000	1	0.6191	0.7151	0.5658	0.2568	0.6004	0.8538	0.1698	0.9999	0.3216	0.8667	local-2026-03-29	134931	discard	exp #72
none	0.6019	1	0.6185	0.7024	0.5745	0.2652	0.5983	0.8762	0.1700	0.9999	0.3216	0.8667	local-2026-03-29	139022	discard	exp #73
none	0.6043	1	0.6187	0.7323	0.5742	0.2617	0.5974	0.8643	0.1722	0.9999	0.3216	0.8667	local-2026-03-29	135887	discard	exp #74
none	0.6028	1	0.6134	0.7166	0.5764	0.2660	0.5961	0.8723	0.1707	0.9999	0.3216	0.8667	local-2026-03-29	136484	discard	exp #75
none	0.6009	1	0.6121	0.7209	0.5697	0.2597	0.5955	0.8609	0.1705	0.9999	0.3216	0.8667	local-2026-03-29	138345	discard	exp #76
none	0.6033	1	0.6244	0.7199	0.5759	0.2640	0.5943	0.8607	0.1721	0.9999	0.3216	0.8667	local-2026-03-29	134257	discard	exp #77
none	0.6013	1	0.6091	0.7210	0.5757	0.2642	0.5942	0.8576	0.1719	0.9999	0.3216	0.8667	local-2026-03-29	138146	discard	exp #78
none	0.6006	1	0.6128	0.6943	0.5763	0.2642	0.5974	0.8783	0.1705	0.9999	0.3216	0.8667	local-2026-03-29	136075	discard	exp #79
none	0.6012	1	0.6119	0.7265	0.5706	0.2585	0.5990	0.8529	0.1713	0.9999	0.3216	0.8667	local-2026-03-29	138261	discard	exp #80
none	0.6005	1	0.6176	0.7196	0.5656	0.2572	0.5978	0.8581	0.1695	0.9999	0.3216	0.8667	local-2026-03-29	139159	discard	exp #81
none	0.6034	1	0.6134	0.7219	0.5740	0.2636	0.5968	0.8764	0.1710	0.9999	0.3216	0.8667	local-2026-03-29	135288	discard	exp #82
none	0.5988	1	0.6163	0.7094	0.5694	0.2580	0.5970	0.8467	0.1713	0.9999	0.3216	0.8667	local-2026-03-29	136917	discard	exp #83
none	0.6015	1	0.6253	0.6929	0.5769	0.2642	0.5971	0.8711	0.1720	0.9999	0.3216	0.8667	local-2026-03-29	135586	discard	exp #84
none	0.5972	1	0.6113	0.6928	0.5664	0.2568	0.5971	0.8650	0.1689	0.9999	0.3216	0.8667	local-2026-03-29	137273	discard	exp #85
none	0.6040	1	0.6274	0.7209	0.5701	0.2624	0.5987	0.8712	0.1700	0.9999	0.3216	0.8667	local-2026-03-29	139243	discard	exp #86
none	0.6018	1	0.6157	0.7196	0.5704	0.2568	0.6001	0.8669	0.1705	0.9999	0.3216	0.8667	local-2026-03-29	138149	discard	exp #87
none	0.6058	1	0.6249	0.7373	0.5749	0.2633	0.5958	0.8680	0.1709	0.9999	0.3216	0.8667	local-2026-03-29	136043	discard	exp #88
none	0.6022	1	0.6207	0.7181	0.5674	0.2600	0.5991	0.8696	0.1693	0.9999	0.3216	0.8667	local-2026-03-29	137337	discard	exp #89
none	0.6006	1	0.6233	0.6908	0.5724	0.2629	0.5977	0.8756	0.1700	0.9999	0.3216	0.8667	local-2026-03-29	136218	discard	exp #90
